acara_sml_id,school_name,school_sector,school_type,school_url,year_range,icsea,icsea_percentile,bottom_sea_quarter,lower_middle_sea_quarter,upper_middle_sea_quarter,top_sea_quarter,teaching_staff,full_time_equivalent_teaching_staff,non_teaching_staff,full_time_equivalent_non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments,full_time_equivalent_enrolments,indigenous_enrolments,language_background_other_than_english_yes,language_background_other_than_english_no,language_background_other_than_english_not_stated,latitude,longitude,lga_code
48164,Boyup Brook District High School,Government,Combined,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4062,K-10,1010.0,51.0,27.0,31.0,30.0,12.0,20.0,14.2,13.0,8.4,166.0,83.0,83.0,160.4,2.0,3.0,93.0,4.0,-33.83609734,116.3914541,50770
48165,Brookton District High School,Government,Combined,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4063,K-12,882.0,7.0,61.0,19.0,16.0,3.0,13.0,11.0,19.0,10.5,152.0,79.0,73.0,146.4,35.0,11.0,78.0,11.0,-32.37214309,117.0093843,50910
48166,Broome Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4064,7-12,928.0,16.0,35.0,31.0,24.0,10.0,82.0,75.6,50.0,45.4,848.0,439.0,409.0,848.0,38.0,32.0,40.0,28.0,-17.95472222,122.2308333,50980
48167,Bruce Rock District High School,Government,Combined,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4065,K-10,971.0,32.0,41.0,29.0,20.0,11.0,14.0,11.4,14.0,7.8,116.0,54.0,62.0,112.0,12.0,6.0,41.0,53.0,-31.87333333,118.1444444,51120
48168,Bullsbrook College,Government,Combined,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4066,K-12,978.0,36.0,43.0,34.0,18.0,5.0,68.0,62.1,46.0,38.9,984.0,461.0,523.0,970.4,4.0,6.0,9.0,85.0,-31.66185218,116.0337665,58050
48169,Carnamah District High School,Government,Combined,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4067,K-12,924.0,15.0,56.0,21.0,14.0,9.0,13.0,9.3,12.0,5.0,69.0,35.0,34.0,67.0,19.0,7.0,93.0,0.0,-29.68721,115.89189,51470
48170,Corrigin District High School,Government,Combined,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4068,K-12,970.0,32.0,33.0,37.0,25.0,6.0,14.0,11.4,15.0,6.1,110.0,57.0,53.0,106.0,14.0,4.0,96.0,0.0,-32.32684,117.8768,52100
48171,Cunderdin District High School,Government,Combined,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4069,K-11,953.0,25.0,50.0,28.0,18.0,4.0,15.0,12.0,13.0,7.2,157.0,85.0,72.0,152.2,9.0,11.0,73.0,16.0,-31.655,117.24465,52450
48172,Dalwallinu District High School,Government,Combined,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4070,K-12,965.0,30.0,33.0,34.0,23.0,10.0,24.0,17.8,13.0,7.7,198.0,98.0,100.0,190.4,19.0,23.0,73.0,5.0,-30.27092,116.66218,52520
48173,Denmark Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4072,7-12,1044.0,67.0,16.0,30.0,30.0,24.0,39.0,36.1,23.0,16.6,441.0,224.0,217.0,441.0,4.0,11.0,74.0,16.0,-34.95797,117.36516,52730
48174,Derby District High School,Government,Combined,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4073,K-12,755.0,2.0,75.0,17.0,7.0,2.0,59.0,58.2,51.0,48.4,588.0,268.0,320.0,570.8,84.0,84.0,16.0,0.0,-17.30928,123.6346,52800
